query,match,comments
Lastraea glabra var. glabra Brack.,Lastrea glabra Brack.,NA
Lepisorus albertii (Regel) Ching,Lepisorus alberti (Regel) Ching,NA
Lepisorus hsiaowutaiensis Ching & S.K.Wu,Lepisorus hsiawutaiensis Ching & S.K.Wu,NA
Lepisorus rostratus (Bedd.) B.K.Nayar & S.Kaur,Lepisorus rostratus (Hook.) B.K.Nayar & Kaur,NA
Lepisorus rufofuscus T.Fujiwara,Lepisorus rufofuscus T.Fujiw.,NA
Leptopteris wilkesiana (Brack.) Gower,Leptopteris wilkesiana (Brack.) Christ,NA
Lindsaea lancea var. lancea,Lindsaea lancea (L.) Bedd.,NA
Lindsaea millefolia K.U.Kramer,Lindsaea millefolium K.U.Kramer,NA
Lomariopsis wrightii Mett.,Lomariopsis wrightii Mett.; Eat.,NA
Lygodium micans J.W.Sturm,Lygodium micans Sturm,NA
Mecodium szechuanense Ching & P.S.Chiu,Mecodium szechuanense Ching & Chiu,NA
Mecodium wangii Ching & P.S.Chiu,Mecodium wangii Ching & Chiu,NA
Microgramma lindbergii (Mett.) Sota,Microgramma lindbergii (Mett.) de la Sota,NA
Microlepia firma Mett. ex Kuhn,Microlepia firma Mett.; Kuhn,NA
Microsorum glossophyllum (Copel.) Copel.. 1947,Microsorum glossophyllum (Copel.) Copel.,NA
Myriopteris fendleri E.Fourn.,Myriopteris fendleri Fourn.,NA
"Onoclea intermedia (C.Chr.) M.Kato, T.Suzuki & N.Nakato","Onoclea intermedia (C.Chr.) M.Kato, T.Suzuki & Nakato",NA
Onocleopsis hintonii F.Ballard,Onocleopsis hintonii Ballard,NA
Ophioderma redactophyllum Chantanaorr. & Li Bing Zhang,Ophioderma redactophylla Chantanaorr. & Li Bing Zhang,NA
"Ophioglossum aletum Patel, Reddy & Goswami","Ophioglossum aletum M.Patel, M.N.Reddy & H.K.Goswami",NA
"Ophioglossum trilokinathii B.L.Yadav, M.K.Meghvansi, K.Meena & C.B.Gena","Ophioglossum trilokinathii B.L.Yadav, Meghvansi, Meena & Gena",NA
Pilularia americana A.Braun,Pilularia americana A.Br.,NA
Pilularia minuta Durieu,Pilularia minuta Durieu; A.Br.,NA
Platycerium holttumii de Jonch.& Hennipman,Platycerium holttumii Joncheere & Hennipman,NA
Platycerium superbum Jonch. & Hennipman,Platycerium superbum Joncheere & Hennipman,NA
Platygyria x inaequibasis Ching & S.K.Wu,Platygyria inaequibasis Ching & S.K.Wu,NA
Pleopeltis angusta var. angusta,Pleopeltis angusta Bojer,NA
Pleopeltis polypodioides var. polypodioides,Pleopeltis polypodioides (L.) E.G.Andrews & Windham,NA
Polybotrya glandulosa Mett.,Polybotrya glandulosa Mett.; Kuhn,NA
Polybotrya pubens Mart.,Polybotrya pubens Mart.; Kze.,NA
Polypodium subpetiolatum Hook.,Polypodium subpetiolatum Hk.,NA
Polystichum chingiae Ching,Polystichum chingae Ching,NA
Polystichum cystostegia (Hook.) J.B.Armstr.,Polystichum cystostegia (Hook.) Armstr.,NA
Polystichum distans E.Fourn.,Polystichum distans Fourn.,NA
Polystichum marquesense E.D.Br.,Polystichum marquesense E.Brown,NA
Polystichum microchlamys var. azumiense Seriz.,Polystichum microchlamys var. azumiense,NA
Polystichum polyblepharum Nakai,Polystichum polyblepharum C.Presl,NA
Polystichum polyblepharum var. polyblepharum,Polystichum polyblepharum C.Presl,NA
Polystichum polyblepharum var. scabiosum Sa.Kurata,Polystichum polyblepharon var. scabiosum Sa.Kurata,NA
Polystichum rapense E.D.Br.,Polystichum rapense E.Brown,NA
Polystichum rochaleanum Glaz.,Polystichum rochaleanum Glaz.; Fee,NA
Polystichum sinotsus-simense Ching & Zheng Y.Liu,Polystichum sinotsussimense Ching & Z.Y.Liu,NA
Pteris asperula (Bedd.) Hieron.,Pteris asperula J.Sm. ex Hieron.,NA
Pteris comans G.Forst.,Pteris comans Forst.,NA
